tz,electric_power,EP_1_DAY_AGo,EP_1_Week_AGo,EP_4_Weeks_AGo,EP_Next_hour,electric_power_rolling_avg_one_day,electric_power_rolling_avg_one_week
2017-02-12 8:30,15.63890588,15.46475746,0,0,15.32032643,0,0
2017-02-12 9:30,15.32032643,16.43484517,0,0,15.51556199,0,0
2017-02-12 10:30,15.51556199,15.89166806,0,0,15.34792923,0,0
2017-02-12 11:30,15.34792923,15.83023942,0,0,15.59960173,0,0
2017-02-12 12:30,15.59960173,15.99539716,0,0,15.38686402,0,0
2017-02-12 13:30,15.38686402,15.36973408,0,0,15.18730855,0,0
2017-02-12 14:30,15.18730855,15.10443922,0,0,14.80109808,0,0
2017-02-12 15:30,14.80109808,15.06591722,0,0,17.02668916,0,0
2017-02-12 16:30,17.02668916,17.25681695,0,0,18.22924967,0,0
2017-02-12 17:30,18.22924967,18.00560927,0,0,17.60368796,0,0
2017-02-12 18:30,17.60368796,17.37063184,0,0,17.88978518,0,0
2017-02-12 19:30,17.88978518,17.53020967,0,0,18.61774193,0,0
2017-02-12 20:30,18.61774193,17.26438043,0,0,16.67346881,0,0
2017-02-12 21:30,16.67346881,16.15986722,0,0,16.36144133,0,0
2017-02-12 22:30,16.36144133,16.46684943,0,0,16.3945335,0,0
2017-02-12 23:30,16.3945335,16.57889552,0,0,17.33805222,0,0
2017-02-13 0:30,17.33805222,16.99232789,0,0,17.00954176,0,0
2017-02-13 1:30,17.00954176,16.33972405,0,0,16.41722188,0,0
2017-02-13 2:30,16.41722188,16.39657838,0,0,16.44470124,0,0
2017-02-13 3:30,16.44470124,16.54204202,0,0,16.19104653,0,0
2017-02-13 4:30,16.19104653,17.29620584,0,0,16.76597175,0,0
2017-02-13 5:30,16.76597175,16.62993131,0,0,17.52543618,0,0
2017-02-13 6:30,17.52543618,15.27237132,0,0,20.97567763,0,0
2017-02-13 7:30,20.97567763,15.5560075,26.59706315,0,26.62827616,0,0
2017-02-13 8:30,26.62827616,15.63890588,30.0966083,0,29.19330386,0,0
2017-02-13 9:30,29.19330386,15.32032643,30.7443387,0,29.81560385,0,0
2017-02-13 10:30,29.81560385,15.51556199,30.69627681,0,29.05154019,0,0
2017-02-13 11:30,29.05154019,15.34792923,29.54529715,0,29.35123615,0,0
2017-02-13 12:30,29.35123615,15.59960173,29.50075454,0,29.00209899,0,0
2017-02-13 13:30,29.00209899,15.38686402,29.6448778,0,28.28506013,0,0
2017-02-13 14:30,28.28506013,15.18730855,30.50051765,0,28.73856853,0,0
2017-02-13 15:30,28.73856853,14.80109808,32.0541063,0,29.80718291,0,0
2017-02-13 16:30,29.80718291,17.02668916,33.42490274,0,27.12268502,0,0
2017-02-13 17:30,27.12268502,18.22924967,30.95468447,0,20.71885889,0,0
2017-02-13 18:30,20.71885889,17.60368796,25.45875209,0,18.67962759,0,0
2017-02-13 19:30,18.67962759,17.88978518,22.04653226,0,18.43552337,0,0
2017-02-13 20:30,18.43552337,18.61774193,18.48511566,0,16.71463602,0,0
2017-02-13 21:30,16.71463602,16.67346881,17.3439833,0,16.57123829,0,0
2017-02-13 22:30,16.57123829,16.36144133,16.70702545,0,17.46476897,0,0
2017-02-13 23:30,17.46476897,16.3945335,17.46589472,0,17.52154023,0,0
2017-02-14 0:30,17.52154023,17.33805222,17.29833317,0,16.90923651,0,0
2017-02-14 1:30,16.90923651,17.00954176,17.46196886,0,16.49255832,0,0
2017-02-14 2:30,16.49255832,16.41722188,17.06937076,0,16.79434785,0,0
2017-02-14 3:30,16.79434785,16.44470124,17.04821065,0,22.93309601,0,0
2017-02-14 4:30,22.93309601,16.19104653,24.14559907,0,24.14110612,0,0
2017-02-14 5:30,24.14110612,16.76597175,23.48163744,0,19.65312828,0,0
2017-02-14 6:30,19.65312828,17.52543618,23.48360634,0,22.53319771,21.71076878,0
2017-02-14 7:30,22.53319771,20.97567763,23.72479313,0,29.35999851,21.67730815,0
2017-02-14 8:30,29.35999851,26.62827616,29.00126782,0,30.25005908,21.65666332,0
2017-02-14 9:30,30.25005908,29.19330386,29.60277623,0,29.57681828,21.64743097,0
2017-02-14 10:30,29.57681828,29.81560385,30.57047809,0,28.65533911,21.64218887,0
2017-02-14 11:30,28.65533911,29.05154019,28.46150989,0,28.22930257,21.63924984,0
