Datetime,electric_power
2017-02-11 19:30:00,17.530209672823105
2017-02-11 20:30:00,17.264380428436812
2017-02-11 21:30:00,16.15986721766524
2017-02-11 22:30:00,16.466849428562384
2017-02-11 23:30:00,16.578895517047567
2017-02-12 00:30:00,16.992327887990434
2017-02-12 01:30:00,16.33972405407802
2017-02-12 02:30:00,16.396578375922342
2017-02-12 03:30:00,16.542042021725642
2017-02-12 04:30:00,17.29620584348357
2017-02-12 05:30:00,16.629931313704432
2017-02-12 06:30:00,15.272371319113688
2017-02-12 07:30:00,15.556007496289595
2017-02-12 08:30:00,15.638905880777784
2017-02-12 09:30:00,15.32032642903281
2017-02-12 10:30:00,15.515561993769136
2017-02-12 11:30:00,15.347929231965983
2017-02-12 12:30:00,15.599601734406392
2017-02-12 13:30:00,15.386864020220827
