Datetime,Temperature,Pressure,Humidity,Wind,Wind_Speed,Forcast,City
24.02.2017 11:00,19,769,51,Wind blowing from the east-southeast,2, ,Falconara 
24.02.2017 17:00,17.6,767.4,57,Wind blowing from the north-east,4, ,Falconara 
24.02.2017 20:00,15,768.3,70,Wind blowing from the north-east,3, ,Falconara 
24.02.2017 23:00,13.7,768.7,76,Wind blowing from the north-east,2, ,Falconara 
25.02.2017 05:00,10.9,768,90,Wind blowing from the east,1, ,Falconara 
25.02.2017 08:00,11.4,768.6,90,Wind blowing from the east-northeast,1, ,Falconara 
25.02.2017 11:00,19.4,768.2,51,Wind blowing from the east,4, ,Falconara 
25.02.2017 14:00,21,766.6,49,Wind blowing from the north-east,4, ,Falconara 
25.02.2017 17:00,17.8,766.1,66,Wind blowing from the north-east,5, ,Falconara 
25.02.2017 20:00,15.7,767,75,Wind blowing from the north-east,4, ,Falconara 
25.02.2017 23:00,14.7,767.1,78,Wind blowing from the east-northeast,3, ,Falconara 
26.02.2017 02:00,13.7,766.3,81,Wind blowing from the north-east,3, ,Falconara 
26.02.2017 05:00,12.4,765.7,83,Wind blowing from the east,1, ,Falconara 
26.02.2017 08:00,11.5,766.4,89,Wind blowing from the west-northwest,1,Mist. ,Falconara 
26.02.2017 11:00,19.3,766.2,57,Wind blowing from the north-east,4, ,Falconara 
26.02.2017 14:00,21.3,764.4,50,Wind blowing from the north-east,3, ,Falconara 
26.02.2017 17:00,18.3,763.6,63,Wind blowing from the north-east,5, ,Falconara 
26.02.2017 20:00,15.6,764.8,75,Wind blowing from the north-east,4, ,Falconara 
26.02.2017 23:00,15,764.3,78,Wind blowing from the east-northeast,4, ,Falconara 
27.02.2017 02:00,14.2,763.7,83,Wind blowing from the north-east,2, ,Falconara 
27.02.2017 05:00,13.3,762.7,87,Wind blowing from the east-southeast,2, ,Falconara 
27.02.2017 08:00,13.7,762.6,86,Wind blowing from the east-southeast,3,Mist. ,Falconara 
27.02.2017 11:00,19.7,761.4,59,Wind blowing from the east,4, ,Falconara 
27.02.2017 14:00,21.7,759.6,53,Wind blowing from the east,4,Haze. ,Falconara 
27.02.2017 17:00,18.4,758.9,69,Wind blowing from the north-east,3,Haze. ,Falconara 
27.02.2017 20:00,16.3,758.6,79,Wind blowing from the east-northeast,6, ,Falconara 
27.02.2017 23:00,15.1,759.3,78,Wind blowing from the north-east,2, ,Falconara 
